IDcomensal;Nombre;IDmenu;MedioDePago;Importe;Fecha;Numeracion;NumFac
0;Ivan Maximilia;1;1;2340;21/12/2025;0001-00001;4
0;Ivan Maximilia;1;2;2600;21/12/2025;0001-00002;4
0;Ivan Maximilia;1;3;2600;21/12/2025;0001-00003;4
4;Ricardito;2;1;3400;21/12/2025;0001-00004;4
4;Ricardito;5;1;3060;22/12/2025;0001-00005;5
4;Ricardito;5;1;3060;22/12/2025;0001-00006;6
4;Ricardito;10;3;2300;22/12/2025;0001-00007;7
1;Ivan Maximilia;11;1;5400;22/12/2025;0001-00008;8
1;Ivan Maximilia;11;3;6000;22/12/2025;0001-00009;9
2;Evelyn ;12;2;5000;22/12/2025;0001-00010;10
4;Ricardito;10;1;2070;22/12/2025;0001-00011;11
0;Pedro;15;3;30000;23/12/2025;0001-00012;4
